web-scraper-order	content	like	collection	comment	com1	com2	com3	com4	com5
1681276006-104	"无意间刷到一个姐妹发的兰州特产……
呼和浩特人表示不服，这明明是我们从小喝到大的东西！！！"	4	0	5	八三年就有的呼市老牌，谁给她的自信敢说是兰州特产，这是在展示她自己无知吗	这是内蒙古的	大窑就是内蒙特产	哈尔滨烧烤店也都有这个，我虽然不知道这是哪里的，但一定不是兰州特色啊！	笑而不语才应该是你的态度。
1681276008-105		2	0	0					
1681276011-106	#大窑嘉宾	1	0	0					
1681276013-107	大窑真的很好喝 不是很汽水的汽水才是yyds 我爱橙诺 我姐爱嘉宾 都很不错	1	0	1	哈哈哈哈看来你没喝过真正的老汽水，喝过一次大窑 失望！就是色素糖水，没有果汁 没有气，配料表全是添加剂				
1681276015-108	没什么特别，都是营销罢了	0	1	0					
1681276018-109	上海最近疫情非常严峻  买了很多存货  在家里躺平   希望疫情早点结束	3	0	0					
1681276020-110	@大窑嘉宾	1	1	0					
1681276022-111	"我喜欢碳酸饮料，尤其是第一口，那种泡泡在口中散开的感觉，直冲天灵盖，刺激酷爽快乐，所以家中常备雪碧可乐。今天来看看我在小区外面的烧烤店几种不一样的几种碳酸饮料，每种我都喜欢，搭配烧烤再合适不过了。

大窑的饮料很好喝，我喝过大窑嘉宾和大窑橙诺，都不错，我猜大窑荔爱肯定也不错，吃辣吃烧烤绝配。另外想不到雪花也出了碳酸饮料——雪花冰橙，和健力宝味道差不多，我喜欢。总觉得碳酸饮料装进玻璃瓶会格外好喝，不知道大家有没有这种感觉。

       @薯队长 @吃货薯 @吃不饱同学"	10+	10+	10+	这个是橙子味的？	都是果味的不醉人 随便喝	推荐一个不苦的，麦芽香气浓的	哈哈哈，哪个最好喝	怎么买呀
1681276024-112	北京的东北小店里都有，大窑好喝的，推荐	0	0	0					
1681276028-113	"不整理不知道，一整理吓一跳，国货汽水品牌也太多了吧，话说这东北三省啊，这汽水品牌也太多了吧，还一直能延续到现在
对了，以下都是现在还能买到的品牌，有31种之多，回头看评论区有没有人再提供几个我还没发现的凑个34个，大家也太爱喝汽水了吧，你爱喝吗？有故事吗
大窑嘉宾（呼和浩特）
秋林（哈尔滨）
小蜜蜂（牡丹江）
格瓦斯（哈尔滨）
雪菲力（齐齐哈尔  玻璃瓶装）
依安 大都市（齐齐哈尔）
宏宝莱（吉林 1992）
八王寺（沈阳 1920）
野山力（本溪）
鸭绿江 丹东大香蕉汽水，津美乐汽水（丹东  1951）
大连老汽水（大连）
依仑（大连）
北冰洋 （劳动1号）（北京 1936）
山海关（天津 1902）
崂山可乐（青岛 1953）
山海长城（秦皇岛）
西安老汽水（海辛  老冰棍，橙味）
冰峰（西安 1953）
汉斯小木屋（宝鸡）
太钢汽水（太原 1953）
仙翁（河曲）
银铃（阜阳 1958）
天府可乐（重庆 1980）
武汉二厂（武汉  1924）
鲜橙囍露 畴阳饮料汽水（文山）
峨眉雪（乐山 1985）
亚洲沙示（1946）
华洋1982
珍珍（佛山  1992）
好巧（肇庆  1991）
健力宝（佛山 1984）
欢迎大家评论区留言，你与汽水的那些事儿呀
如果还有我不知道的当地汽水牌子，欢迎大家评论区告诉我哦，"	10+	10+	0					
1681276030-114	作为童年没喝过这种汽水的人，感觉错过了	0	0	0					
1681276032-115	"网购了几箱汽水??
大窑嘉宾回购好几次了，太适合不爱酒精爱气泡饮的朋友，一瓶好大的，随便吨～我觉得原味最好喝，有一丢丢香槟???口感，用来就小烧烤最好不过了
还有这次新买的华洋汽水，二十几块钱6瓶不同口味的，随便打开一瓶白桃樱花??粉嫩粉嫩的少女心爆棚啊！品尝过了好喝！
别再买进口汽水了，巴黎水宾得宝一天一瓶都心疼，国产的便宜大碗不香么～"	10+	10+	1	这两个都爱喝，华洋很惊艳，我家火锅烧烤必喝大窑				
1681276035-116	每次喝大窖心情都很好  爱上大窖的每一天	2	1	0					
1681276037-117	过年过节用ta来送礼，再好不过了！走亲访友，倍有面儿????	4	0	0					
1681276040-118		0	0	1	的确				
1681276045-119	"不会还有人没喝过吧？
这个小汽水在我们东北小饭馆可遍地都是～"	10+	3	1	不止东北，内蒙古也有，是呼和浩特特产				
1681276047-120	一瓶饮料放在桌上一会溜过来偷喝一口	1	0	0					
1681276049-121	"瑞幸真爱粉前来给瑞幸研发新品提供新思路@瑞幸咖啡
液体芝士的豆子太可了，很香但不发酸！"	10+	5	0					
1681276051-122	以为是大窑嘉宾出的新品，回来喝起来才发现是大窖香槟……	1	0	4	我喝着图二还可以	还有大窖呢	临沂产的吧	大窑哪个口味好喝？	
1681276054-123	"别人给我的那一刻以为这是??
还笑着推辞
却只听这是汽水
好像还红极一时
浅尝
果然我也不是个喜欢汽水的人。"	1	0	6	不好喝，和芬达差不多没它汽多	还蛮好喝的	宁夏特产		
1681276056-124	广告语是为了说服顾客购买，精准有用必须放第一位。少一些花里胡哨的老板情怀和模棱两可的语义，卖起货来更爽更快	1	0	1	你印象中有哪些广告语堪称经典呢？				
1681276058-125	目前只喝过两种口味的大窑嘉宾，个人更喜欢橙子味的，这个味道像是在吃老冰棍哈哈哈	3	2	10+	这种的贵，我们都喝那种瓶酒瓶子的	为啥我觉得贼难喝，接受无能	我们这里3块饭店4块	易拉罐的和瓶装的味道一样吗？	我们都卖5块，只有一家4块5
1681276061-126	"这个夏天。
只喜欢他。"	2	0	10+	对啊，感觉大淄博烧烤都是配的大窑	原来他叫嘉宾  我就管他叫黑的白的黄的	昨天吃烧烤喝的橘子味的大窑，是真的好喝	下次可以试试荔枝味，也很好喝	
1681276063-127	"橙子?酸梅汤?荔枝
夏季配冰块?小金桔
每个口味儿都绝绝子。"	4	1	4	我还是最爱大窑嘉宾	是新出的口味吗			
1681276065-128	我是比较喜欢碳酸饮料，可乐雪碧芬达这类。无奈胃口不好，一喝带汽儿多的胃就会难受。大窑拯救了我，汽儿不多，还能过嘴瘾。好喝哦。我第一次喝是在内蒙赤峰，回天津后，一发不可收拾	4	0	10+	哈哈哈感觉就是没气儿的北冰洋，大窑真的便宜	大窑橙子味真的绝，就是有没有小瓶的，有小瓶的就可以多买在家里喝，不然喝不了没汽了就不好喝了	三个口味哪个好喝？	最近都来这个 主要是热量低 多多买菜一箱12瓶合着3.33元一瓶 无敌了 每天回家都要喝两瓶 吃饭一瓶 晚上刷小红书一瓶	
1681276067-129	喝了这么多次，第一次发现大窑的容量是520	1	0	8	原来是600吧	大窑荔枝味yyds	大窑原味yyds	战狼汽水	
1681276069-130	"在华欣居然看到了大窑 真真是内蒙拉菲走出国门
两年没回家 喝到这个味道真是太感动了 华欣真是宝藏超市??????"	5	0	3	呼市人吗??	比国内贵啊 赚外汇			
1681276072-131	#大窑嘉宾	0	0	10+	大窑嘉宾：橘子味	难喝的一批，大窑荔爱还行	北京老冰棍的味道	橙诺YYDS	感觉不一样啊，菠萝啤汽水味劲更大
1681276074-132	好好喝……可乐爱好者展示叛变一下	1	0	0					
1681276076-133	"在北京买到了这个内蒙网红饮料，地位类似北京的“北冰洋”吧，都是一代人儿时的回忆。
 有点像老冰棍的味道。
  就是橙味汽水，感觉比北冰洋稍甜。"	4	2	0					
1681276082-134	"超喜欢乱七八糟的小东西
哈哈哈哈哈
好久不见的大窑啦~
想内蒙古！"	4	0	0					
1681276084-135	你喝过大窑吗？你觉得大窑好喝吗？你是花几块钱买的？最近几年，国产汽水们在国潮旋风的加持下，重新迸发出强大的市场能量：北冰洋上市、冰峰冲刺 IPO；宏宝莱、山海关开启多元化布局；汉口二厂、华洋1982也不甘落后，将潮味发挥得淋漓尽致。	100+	10+	100+	已经凉的差不多了吧，事实证明，情怀税，不长久。	大窑那是啥垃圾味，国产饮料就没走正道。王老吉，和其正，也都是甜水一样。唯一乌龙茶还算纯净点，不过不知道是不是乌龙茶粉冲兑出来的。	看了几个视频，内容还行，表情接受不了	1982那天买了，还可以	可乐为什么流行就是因为它便宜，是穷人快乐水，让平民用较少的钱就能获得简单直接的快乐
1681276086-136		1	0	2	哪个口味好				
1681276088-137	"加班狗的我，同事突然给了瓶这个，
我：哎哟喂，这还没忙完呢就喝上了不太好吧？（um…我以为是青岛啤酒??，哈哈哈哈）
同事：尝尝，这我们内蒙古的网红饮料～??
————————————————————————
??咋形容呢，味道有点我们大广东的菠萝啤那味??～"	10+	8	10+	好喝玻璃瓶的好喝原味比橙子味的好喝	喝过	我喝过那种玻璃瓶的	山东青岛，这边小饭馆都铺满了，玻璃瓶的5块一瓶，不喝酒的基本就是喝这个了	没喝过 好喝不
1681276091-138		1	0	0					
1681276093-139	"之前期待喝大窑嘉宾期待了好久
结果就是汽水的味道
没有想象中的好喝"	2	0	0					
1681276095-140	没有什么烦恼是一瓶大窑解决不了的如果有那就是两瓶！	1	0	0					
1681276097-141		0	0	0					
1681276099-142	"大窑嘉宾果味汽水。
产地宁夏。
成分里有橘子汁、柠檬酸，但口味居然是哈密瓜哈哈哈哈哈哈有股小时候吃的泡泡糖的香气耶。"	7	2	9	我觉得闻起来特别像香蕉味的泡泡糖喝起来也很像泡泡糖的味道	大窑是内蒙呼市的，宁夏是分厂	有两种不同的包装，不知道有什么不一样	我觉得这个和环球影城的黄油啤酒味道好像	
1681276102-143	"我问男朋友：“你喝大窑嘉宾吗？”
男朋友：“大窑是啥？”
我给他一通解释后，他说：“哦，不加冰。”
我：“……”"	4	0	3	你的图二是真实存在的东西吗？	感谢你特别邀请			
1681276104-144	"之前拍了个大窖被细心的朋友发现啦
还顺带推荐了大白梨和格瓦斯
今天特地去尝了下，味道真的绝
大家都给我去喝！"	4	0	10+	大窑还得来呼和浩特喝	大窑真的不是黑龙江的，大白梨才是（小时候都是喝大白梨or宏宝莱）	我喜欢大窑橙诺和大窑荔爱	我赤峰同学说大窑是他们那的，哈尔滨小孩从小喝大白梨，再大点喝格瓦斯	再说一遍大窑前身呼和浩特八一饮料厂
1681276106-145	"投标工作之余 放松时刻
中午吃饭剩了两瓶大窑 
新来的小杨同学说给我们表演一个节目
摇摇小旋风"	1	0	0					
1681276108-146		3	0	1	??				
1681276111-147		1	0	0					
1681276113-148	"大窑新口味吗！
突然发现南通这边好多独立餐饮店都有大窑饮料！而且瓶身容量520ml是有点小心机的。
荔枝香精浓郁也很好喝，感觉是童年熟悉的味道。"	0	0	0					
1681276116-149	第一次喝大窑汽水??还有一句顺口溜:吃面要吃蒜，烧烤配大窑。听朋友说，内地到处都可以买到这个汽水，我尝了一下大窑橙诺和冰峰，北冰洋什么的差不多味。现在大窑是中国八大汽水之一，是国货品牌的代表，来自于上世纪的大窑嘉宾，为我们中国汽水代言 。时间流淌岁月流逝，不变的是怀旧口味，时间，留下至真的味道——你好大窑。	10+	1	1	吃面要吃蒜，烧烤配大窑				
1681276118-150	实在是通过描述没法get它的味道，我们这边没有卖的，只能桃，买一大堆，实在太好奇了	2	0	0					
1681276122-151	"有喜欢吃的菜饺子??水果??零食瓜子～
有爱喝的大窑嘉宾??咸奶茶，顶呱呱??"	2	0	0					
1681276125-152	#大窑嘉宾	0	0	2	我觉得嘉宾一般，橙诺和荔爱好喝				
1681276127-153		1	0	0					
1681276129-154	看来是我孤陋寡闻了	5	0	2	干大了				
1681276131-155	"我大概真的上年纪了～我竟然没有听说过这种??～这……还算我过年发现的新东西之一了
味道不错呦，推荐"	1	0	0					
1681276133-156		0	0	0					
1681276136-157	村里小卖部卖的，10r一瓶，喝起来没有玻璃瓶的好喝哈哈哈，也可能是心理问题。	3	1	10+	内蒙人跟你保证是真的，我们原产地也卖这种，但是这种的十块钱一桶真的有点贵了，我们这边九块九两桶	我们这大超市也有 感觉是真的	有吴京的就是	玻璃瓶的最好喝	是真的但不好喝 没有什么汽
1681276138-158	"呼和浩特土特产
怎么会有这么好喝的汽水"	3	0	0					
1681276140-159	"姐妹们买东西一定要擦亮眼睛??

图2-3是我爸在美团上买的大窖汽水
拿到手我总觉得哪里不对，可是又说不上来是哪里
喝了一口以后发现这是酒窖的窖，不是窑！

不专门看真的很难注意到

图1是超市卖的正品大窑

真是稍不注意就会进入商家陷阱???"	10+	2	10+	多谢提醒，我就说淘菜菜上的咋咋这么便宜，果真是“窖”不是“窑”	长的完全不一样啊	买带吴京的	我就是来找这条的	妈呀差点买了，谢谢姐妹
1681276142-160	"大窑很好喝 家乡味道抚慰我
希望赶快好起来吧"	4	0	0					
1681276144-161		100+	100+	10+	可惜你没买到西安本地的，易拉罐是外销品，本地直接往玻璃瓶里灌400ml只要两块，大街小巷的餐馆全是	大窑嘉宾，最正点的不是橘子味，而是那个根本窑喝不出来啥味的果味大，颜色看起来有点像香槟	广东呢？	乐山人强烈推荐峨眉雪。	山西
1681276147-162		2	0	4	看战狼也过瘾，如果看战狼喝大窑是不是双倍过瘾	还得是原味的！			
1681276149-163	"这款网红饮料火到了全国各地：大窑嘉宾

但我喝了一口，浓浓的廉价糖精味，再看配料表，好家伙，数了数一共添加了12种添加剂（包括山梨酸钾、苯甲酸钠），还不算食用香精。

这不就是传说中的科技与狠活吗？妥妥的海克斯科技饮料。

虽然不能抛开剂量谈添加剂，但一款如此难喝的饮料，还添加这么多种添加剂有必要吗？

借用大窑的广告词：时间，留下至真的添加剂味道。"	10+	9	100+	那你别喝可乐别喝芬达别喝七喜美年达，天天科技与狠活累不累	我就寻思吧，推一类致癌的酒精制品的有什么脸说别人饮料有害？	不知道代言人吴京平时会不会喝这个饮料??	好歹有桔子汁和蜂蜜啥的，你平时喝的可乐雪碧啥的纯纯都是各种勾兑啊	甜蜜素、安赛蜜、阿斯巴甜，就差三氯蔗糖了。苯甲酸钠、山梨酸钾这俩也都上了。焦糖色、柠檬黄、胭脂红，没上亮蓝和日落黄。估计是考虑上了色就不对了。应该说是良心饮料，毕竟常用的基本上都给你上齐了。
1681276151-164	点外卖送的饮料，我说商家怎么那么大方	1	0	3	@尘 埃	哈哈哈哈哈哈哈	哈哈哈哈哈哈哈哈哈哈哈哈		
1681276154-165		100+	6	100+	黑的比黄的好喝	夜市标配，大窑和大白梨	山东现在也卖得很火	我觉得荔枝味最好喝耶	喝是好喝就是国产特产现在都卖的贵了
1681276156-166	收到大西北旅游时的饮料， 瞬间有了大西北的感觉	0	0	0					
1681276158-167	"哈喽哈喽，今天必须整一杯
因为我们的首府城市已经达到了零上1℃
上上个月全网都在着手准备春夏穿搭
而北方的寒夜-14℃实在太漫长
经历了一波曲折小降温后
终于迎来了春天（4-5级大风）
但是丝毫不影响我们在家喝大窑
（家里很热还在供暖哦）
tip：可以在冰箱准备冰块了
不得不说玻璃杯+大窑+冰块很赞哦
??????@生活薯"	0	0	0					
1681276161-168	#大窑嘉宾	3	0	3	直接推荐				
1681276163-169	哈哈哈哈哈大窑嘉宾每次喝都感觉是老冰棍化成水儿的味道	0	0	2	橙子味的好喝点				
1681276165-170	上学时候最爱的吃就是一碗微辣麻辣烫再配一瓶大窑嘉宾，酸辣与汽水的碰撞让愉悦值达到阈值，美食届的天花板也不过如此（自封的哈哈哈）。上了大学后，才发现并不是所有地方都卖大窑，大窑与可乐的不同之处就在于大窑保留了些许碳酸的同时有浓浓的果香味，它没有可乐那么强的攻击性，与美食互相成就！这么好喝的汽水不应该只有内蒙古人喝得到，它值得冲向全世界！！！	10+	7	3	吃饭的时候买的 我以为是啤酒呢	冲你这话，我喝，			
1681276167-171	打开喝着也没气啊……假的吧…哇去…再看看…大窖是什么鬼	0	0	7	大窑确实有塑料瓶	这个是大jiào佳宾	是有塑料瓶，但是不长这样	我这边的○团优选就有这个大窖，销量还很可观	
1681276169-172		1	0	0					
1681276173-173		100+	10+	10+	还是蒙牛伊利能罩的广一些	第一次在内蒙知道大窑！！！而且每家店都有！！！	确实hin好喝	对夹之神永远保卫我	??mianmian
1681276175-174	很好喝啊 大窑汽水 一次就爱上	10+	1	10+	除了上面姐妹提到的荔枝味以外，还有一种橙子味大窑也好喝，但其实它就像是橙子味芬达一样啦不过本内蒙人始终最喜欢原味！！！而且身边同学朋友包括父母也普遍爱喝原味	来我这儿吧，要多少喝多少，不够咱直接去大窑厂里喝	据说猕猴桃味的好喝，但是我没喝过橙子味很爱	我不会说我们内蒙古批发一块多就能拿到	我好像只喝过橙子和苹果 还有别的味吗
1681276179-175	"红色绿瓶的好像是综合水果味 好好喝老带劲了
第二天又买了瓶橙色的 就跟芬达一个味儿
还是最喜欢红色的！目前只喝过这俩 还有其他口味吗有推荐吗铁汁们！！！！！"	10+	4	10+	内蒙古呼和浩特	应该就三种吧，橙色的，荔爱，嘉宾	内蒙的！深色的最好喝了，配着烧烤一起，超级棒	荔枝味的，内蒙特产	被好喝住了，到底是什么语法？
1681276181-176	就说你曾经守护过京子的笑容	4	0	3	昨天刚在杭州的兰州拉面里喝				
1681276183-177	"内蒙古网红汽水，黑色瓶子是最经典的味道，二氧化碳含量超级足，喝起来非常的nice!
除了经典的还有橙子和荔枝口味的，也是非常的清爽，口感的话比较清新，喜欢水果味道的朋友可以尝试一下。
????有条件的话，冷藏一下加入冰块??，口感会更棒。"	10+	10+	4	我们从小喝到大的本土饮料，不是网红产品，或许是这几年走出去了……（复制别人的）				
1681276185-178	"-啥味呀
-加气的老冰棍儿味"	10+	7	100+	大窑偷偷背着我们扩散到了多少地方	我们本地人都是按箱买的冷藏以后还不错的	它可真是出息了，竟然能请到吴京做代言，小时候最喜欢拿几个空瓶子去换一个大窑	就是我们小时候喝的一种香槟的味道，我还挺喜欢的	之前在盐城我朋友知道大窑是我们内蒙的之后，因为疫情学校封校，她走读生，完事她天天给我带冰镇的大窑，她还要跑到兰州拉面里去给我买，我不是要她去的
1681276188-179	这是汽水，不是酒！	10+	10+	1	第一次觉得这么高大上				
1681276190-180	啤酒瓶装果汁儿软料，有点意思	10+	0	7	京哥坚硬的外表（啤酒瓶）配上甜甜的内心（本质甜妹），这就是吴京本京啊	橙子味好喝	好喝的，除了嘉宾还有橙子和荔枝味	他喝过，还是和郭帆一起喝的，我有图	这瓶子会自爆，我们上次一连炸了三瓶，差点没吓死
1681276193-181	室友以为捡到便宜了 结果买到的是大窖...	10+	0	7	我买的假的也挺好喝啊	安志杰我记得他演过吴京的兄弟	哈哈哈哈哈哈哈哈哈哈哈哈	这也不是吴京啊	
1681276195-182	"因为疫情，不敢乘坐公共交通工具，每次去北京上学，都是自驾。
在学校里，总会有人问到我是哪里来的，“内蒙古包头”，刚开始我这么回答，可我发现，当我刚刚讲出内蒙古的时候，提问的人眼神会暂时地死一下，好像听到了什么生僻词汇，于是，当我说出包头的时候，气氛里只有缄默，好像优等生突然忘记了背得烂熟的知识点。
我从来不会觉得内蒙古偏远，也没有感觉自己住在高原上，可导航里“18公里连续下坡”的提示语让我觉得自己正在前往一片下沉的新大陆，像是醉氧般的，心也跟着沉了下去。
走在高速路上，内蒙古的广阔让我震撼，整整5个小时还行驶在内蒙古境内。因为市与市的分界线并不明显，我总觉得，我还在家乡。当高速路旁的提示牌由蒙汉双语变成中英双语的时候，我意识到，家乡真的被自己落在身后了。
虽然在家乡待了很久，可我还没有亲够爷爷奶奶的脸颊，还没有要到已经相谈甚欢的陌生人的联系方式，还没有睡够我铺满阳光的床。
还有许多好事没有完成，似乎在预示着下个假期的欢乐。大窑嘉宾会保佑每一个离开内蒙古的孩子！"	1k+	100+	100+	可是……包头到北京的高铁也就两个多小时，不知道为啥就会让人觉得很偏远，不理解捏	离开内蒙我才发现我有多热爱那片土地 逢人就说草原的好	已经返校了 烧麦也会保佑每个内蒙孩子的哈哈哈哈	荔枝味的大窑可太好喝了	我赤峰的。每次别人展现出对内蒙古不熟的样子，我都想“嗯也就那样吧，连赤峰都不知道，见识也没有那么广”。反正以自己的家乡为骄傲，别太在意别人的眼光
1681276197-183	没喝过，多多买菜看到四舍五入不要钱的大窑，买回来喝了几口不过如此嘛，仔细一看这是大窖da jiao我真的会谢，真是大意了啊	10+	1	100+	这是dajiao，大窖，不是大窑，dayao	在老家隔离点工作的时候 那边给提供的饮料就是大窑 上面有吴京	这种包装有好几个牌子，感觉都是小作坊出的，我老公买过一次，真的难喝死了	想起了白事可乐，康帅傅	你这不错了！我还喝过一个大窨嘉宾，喝到的时候味道不对，仔细一看我都懵了
1681276200-184		10+	0	100+	香精味太浓了。我都不知道这玩意玻璃瓶的怎么卖到五r的。我都不如喝大白梨。	荔枝味的好喝，冰镇的	额，我们这大窑都是喝玻璃瓶的，塑料瓶的没见过	这玩意得 冰镇 玻璃瓶  吃饭时 才有那味 平常喝确实不太好喝	感觉大窑一股香精味，就是小时候那种糖精汽水的味道
1681276202-185	"第一次喝到大窑嘉宾，之前没有喝过也没见过，气很足，比普通汽水还要足真的好喝
不能喝酒的美女们，吃烧烤的时候可以试试这个"	100+	7	100+	这是内蒙饮料哦姐妹	内蒙古饮料 东北遍地走	你在试试大窑橙诺和大窑荔爱，比这个好喝	知道他在呼市叫香槟的都很少了	东北遍地都是
1681276204-186		4	0	5	哈哈哈哈哈，我也喝过，味道没区别	刚开始因为是广告，然后哈哈哈哈哈哈哈			
1681276206-187	#当然要记录啊#大汽水喝大窑	0	0	0					
1681276209-188	"咱就是长得像啤酒，倒出来更像啤酒，
但喝起来是汽水的汽水咱还是头一回
京哥都这么举着了，
咱就都别“养鱼”了，干杯！
浅尝了一下嘉宾（咱也不知道为啥叫嘉宾）
但总感觉小伙伴倒汽水的双手都恭敬了一些，
这就是大哥的魅力吧
嘉宾喝起来和小时候喝过的一款果啤很像，
喝一杯能大老长一个嗝
聚会不想喝啤jiu的可以喝！里子面子京哥给你！"	6	1	0					
1681276211-189	"每一个快乐干饭的小日子，都是好日子?

夏天傍晚吃什么？Day 1麻辣烫
吃麻辣烫??一定要配汽水??呀！

新解锁的大窑荔枝味汽水，口感对于我来说太甜了些，加了点雪花啤酒进去，冲淡了甜腻、增加了啤酒香，而且啤酒味也不至于过浓～我真是个平平无奇干饭小天才??????"	1	0	0					
1681276215-190	这个我最爱荔枝味跟橙汁味 还有一个原味 是黑色的 个人觉得黑色那个不好喝 太甜了 而且是一种说不出的口味 感觉一口下去满满都是阿斯巴甜	1	1	0					
1681276217-191	"提醒一下大家
现在网上出现一些仿品
请擦亮眼睛
大窑家族有三种口味
1.大窑嘉宾
2.大窑橙诺
3.大窑荔爱"	2	0	5	我竟然买了6提大窖哭晕	我老公买了一包大窖我越看越别扭，才看到包装上有拼音，da jiao			
1681276220-192	"早：昨天没吃完的草莓蛋糕吃了一块
晚：串串吃了很多还喝了一瓶大窑"	1	0	3	我用了一个月，为了考试和过年拼了，到现在为止是一个月33斤，我妈说我比猪瘦的快				
1681276222-193	"在大北窑喝大窑大汽水。
边喝边想，人怎样才能做到大气、坚强、而又拥有一颗柔软、自在的心？

btw，前几天得知Nicholas Kirkwood关闭了他的珍珠鞋品牌，我的登山靴竟成绝版。一个人究竟经历了什么，才能做下关闭自己一手创立的品牌的决定？！
另外，吴京真适合代言这瓶汽水。

              

List：
贝雷帽/Elosegui
毛衣/Juslin
裙子/Prada
登山靴/Nicholas Kirkwood
袜子/Happysocks
包/Loewe
大衣/WHM素然"	4	0	2	沙发	大窑嘉宾！我也爱！老白糖冰棍儿的味！每次和朋友郊游，吃饭时都会默契的点大窑			
1681276225-194	"青草飞鸟 蓝天白云
诗词歌话 快意人生
带上大窑 去尽情感受春天的气息吧
500ml*20罐，独特的嘉宾口味
完美融合了蜂蜜，浓郁果香与碳酸饮料的独特风味
让气泡与果香同时在口腔中迸发
带来与众不同的味蕾体验
入口的果香搭载着冰爽冲刷每一寸神经
热辣无踪 冰爽沁透 大汽水 喝大窑
大窑嘉宾 橙诺 荔爱
等你，共赴一场春日的故事
????
@小红书创作学院"	0	0	0					
1681276227-195	"大窑汽水三件套，到底哪个口味更好喝呢？？接下来简单分享下我的感受！！
??首屈一指大窑嘉宾
这汽水一入口就感觉味道很熟悉呀，但却说不出到底是什么味道，仔细回味了下，最后成功锁定到一种糖果的味道，就是图一右下角那种糖果纸很漂亮很漂亮的水果糖的味道啦！但有人说是??味的，仔细闻了下确实感觉加的香精是有一点点的??味道，最后结合配料表来看可能就是桔子汁?蜂蜜的味道吧（不知所云为何物），反正就是很好喝很好喝啦～
??梅开二度大窑橙诺
橙味儿汽水可以算是最容易得到的快乐啦，大窑这个口味的我觉得除了气足以外，并没有什么惊喜！相比其他牌子同口味汽水来说，总体感觉就是真的十分大气，气势汹汹，气场太强，所以第一口真的很过瘾，但是汹涌澎湃过后橙味却很快就会消失，最后只留下甘甜的味道。
三心二意大窑荔爱
荔枝味道的汽水感觉还是不怎么讨喜，大窑亦是，只觉得荔枝香精味过于浓郁，而口感上又太甜，所以第一次喝虽然很新奇，但却不会想着继续囤货，所以～
﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌﹌
总体来说，对于大窑的喜爱度排名是：
大窑嘉宾＞大窑橙诺＞大窑荔爱"	10+	4	2	第一瓶我感觉是老冰棍儿味儿				
1681276229-196	昨天多多买菜买的，心想大窑这么便宜了，心血来潮买了一提，到手后发现，大窖，哈哈哈哈，这…味道还是差一点，还是大窑好喝	1	1	0					
1681276233-197	"三元梅元：传统奶酪、奶卷、杏色豆腐！真的都巨好吃！！
驴打滚：就在三元梅园的旁边，热乎乎的糯糯子
吴裕泰茶莊：抹茶冰激凌，也有花茶冰激淋，我点的是抹茶，茶味很足
沣元春饼馆：两个人吃不了太多所以点的春饼套餐（一两酱肘子，炒合菜，春饼皮），还点了京酱肉丝和砂锅豆腐（没拍），这家也是开了好多年，态度服务都很好，还有免费的小米粥可以自行续
最后就是北冰洋啦，还有大窑（没拍），这两款我觉得汽儿都很足，嗝～"	0	0	3	三元梅元在哪儿啊想去	是杏仁豆腐！！！打错了			
1681276239-198	"蹄膀：好好吃，瘦肉很多，皮是胶原蛋白
风爪：好烂，吸一下就全掉下来了，好米
牛蛙：是带微甜的！酱汁好香
烧烤：奶香牛油吃到了??干子和黄瓜都是北街味道
大窑汽水：比美年达好喝多！不怎么爱汽水的人都喝两杯??"	0	0	0					
1681276241-199	"大数据请把这篇笔记推荐给要需要的姐妹
好喝真的！！我已经说累了
大窑嘉宾无糖版带来同样的畅爽体验
玻璃瓶大窑的同款味道但是更清爽
绵密的大气泡，一口畅饮的大满足
入口甘甜，果香四溢
嘉宾x橙诺x荔爱三种口味
好喝不贵囤起来
夏日自制版解暑冷饮就从一瓶0糖大窑开启吧！
??????????@小红书成长助手??@小红书创作学院"	1	0	0					
1681276244-200	"90后｜已婚小夫妻｜日常消耗

最近家属考试结束，开启放松模式??
消耗掉两瓶小麦果汁??和一瓶大窑汽水??
东北的小朋友对大窑的感情应该挺深的吧～ 还是比较喜欢荔枝味的～

消耗了两片面膜，不知道是什么原因用凌博士的这个面膜感觉有点刺痛，感觉精华液也比较少，家里应该还有最后几片了，用完暂时不会回购了～

悦芙媞的面膜发挥还是比较稳定，可以满足日常补水和维稳～ 还不错??
消耗了一支丸美眼霜小样，正装已经用完了，抓紧消耗小样～ 使用下来没有看到特别明显的效果，如果不小心涂到睫毛上感觉还有些辣眼睛，姐妹们在使用的时候还是要稍微注意一下～

昨天和家属骑摩托车???出去兜风，感觉有点着凉，回家头疼的厉害，最近流感比较严重，大家要做好防护，保护好自己～"	0	1	0					
1681276246-201	"在么！在么！
我的大窑让人喝了！
这可是我爱喝的荔爱啊
入口就是浓浓的荔枝果味
一口就能瞬间清爽
足足500ml啊，就剩一口了！
就留了一点
??????@小红书成长助手??@小红书创作学院"	0	0	0					
