序号	门店名称	评论内容	评论日期
109	Seesaw Coffee(北京通州万达店)	我觉得他们的气氛不太好，我去的时候在争执，没有好心情做出来的咖啡也一般吧，而且我是告诉了她要打包带走，她就是给我下单了堂食，一个粉色头发的小姑娘～没有一个好的心情做出来的咖啡也不好喝哦～真的太一般了……	2023-03-31
110	Seesaw Coffee(上海LCM店)	来喝下午茶，店面不大，开在商场外侧，所以人流没那么密集，走的简约风，咖啡味道就那样吧，不如刚开业的时候惊艳了，也喝不出啥特别的，和现在满大街的部分品牌相比，虽然有各种各样的团购，性价比不高，没有啥优势了。	2023-03-30
111	Seesaw Coffee(上海思南公馆店)	"[服务铃]服务：
天气暖和了来思南公馆这边转转，最近戒咖啡只好点茶来喝。门店只有一个小姐姐在忙，感觉出餐比较慢。
「路易波士茶拿铁」
看了介绍说路易波士拿铁不含咖啡因所以想试试，岂料喝完之后队友和我都开始肚子不舒服。[捂脸][捂脸][捂脸]不知道是不耐受还是出品的问题，但已经走远了也就没有回去问。"	2023-03-30
112	Seesaw Coffee(浦东嘉里城店)	大无语，烤焦的那么明显就不能给我换一份吗？可颂上面还粘了其他东西，类似芝麻。	2023-03-29
113	Seesaw Coffee(上海企业天地店)	"办公楼一隅， 有点空荡 看着没啥客人。只有两个Staff，但下单后等候时间很长。 出单却不叫号， 直到上去询问 店员拿出我十分钟前看到出单的那杯 说才刚做好，我也是无语。

点了招牌：栀子花梨香拿铁， 本身用的是燕麦。有点稍可惜，添加了花哨的口味后 淹没了咖啡豆的本身醇香。 果然还是越本真 才是最不刻意。"	2023-03-29
114	Seesaw Coffee(北京通州万达店)	"啊，怎么说呢？咖啡这个赛道应该是越走越窄了吧？所以没有办法，只好不停的推陈出新，出一些新的口味才能够成为自己的特色和亮点。可是你猜怎么着，为什么原先的那些口味会更普遍呢？因为它更适合普罗大众吧。
点了特色的栀子花梨香拿铁，哎，只能说不会再回购的。太甜了…明明我都说了要少甜…难道店家不知道现在大多数人其实并不那么爱甜口吗？
店里环境倒还是不错的，宽敞，不过大家更多都是点了带走，快餐式的咖啡，价格比瑞幸要贵。我还是喝回我的瑞幸吧，虽然不像咖啡，更像饮料。"	2023-03-29
115	Seesaw Coffee(上海思南公馆店)	服务员态度极差，给妈妈点了杯咖啡自取，到号也不叫号，还语气不耐烦，手机小程序也点不显示制作完成请取餐。用得着吗？不知道是什么歧视？	2023-03-28
116	Seesaw Coffee(南京国金中心店)	团购多杯咖啡 沟通费劲 服务且差 太让人生气了	2023-03-28
117	Seesaw Coffee(晶耀前滩店)	淡的一逼，服务很差	2023-03-27
118	Seesaw Coffee(北京三里屯机电院店)	"没拍照片，环境很小，五六张小小的桌子，墙壁等也没怎么修饰，像一个提货站点。
「满月桂香Dirty」完全没有分层，浑浑的就来了，口感很不好。
普通拿铁大杯，33，和星巴克一个价格，性价比不如星巴克，因为环境差。
不会再来。"	2023-03-26
119	Seesaw Coffee(浦东嘉里城店)	见过服务最差的咖啡门店 店员爱答不理  多说一句都不耐烦 一副欠他的样子 原来以为是个别现象 去多了发现是全员黑脸风 要不是求近 一楼咖啡店在装修 真不想光顾	2023-03-26
120	Seesaw Coffee(上海南翔印象城店)	味道还可以只能说作为咖啡店出品这个造型有点敷衍哦，奶泡不细腻完全没有拉花。。。太敷衍了。不过性价比还可以吧毕竟**团购的价钱还可以。	2023-03-26
121	Seesaw Coffee(苏州中心店)	美团团购的，超小一杯，搞不起活动就别搞了，何必	2023-03-26
122	Seesaw Coffee(环贸iapm店)	味淡，质量在下行。	2023-03-26
123	Seesaw Coffee(北京三里屯机电院店)	"一般般，点了它家的外卖。
「迷你焦糖肉桂揪揪盒」冲着肉桂口味的面包来的，口感属实让我略感失望。肉桂味很浓郁，但是面包比较干，口感不够松软，就是普通得不能再普通的面包。
「小澳白」澳白也还行，感觉奶的比例偏多，喝完没有起到提升的效果。"	2023-03-25
124	Seesaw Coffee(北京通州万达店)	"本来也没想点评，因为咖啡确实中规中矩。但点的咖啡有点尴尬，实在不吐不快。
「山茶茉莉拿铁」点了一杯茉莉拿铁，味道嘛，茉莉香味挺浓，只是……这十来棵茉莉花，带着硬硬的梗杆，嚼不碎咽不下的，感觉确实不好[撇嘴]。建议商家想办法磨成粉之类的吧！不能光顾味道不顾口感！
[薄荷]环境:环境上也只能叫中规中矩，快餐式桌椅，椅子硬邦邦不舒服，没法久坐，完全不像咖啡厅的感觉。而且靠近大门，有点冷。
[服务铃]服务:没啥服务，就一个咖啡师+服务员，扫码点餐，自己取。全程无交流。
价位、环境、服务、味道都算中规中矩，还是选xbk不会踩雷。"	2023-03-25
125	Seesaw Coffee(上海吴界277店)	"太难喝啦！！大踩雷「山茶茉莉Dirty」

没有分层 完全混合在一起 这就是一杯甜拿铁"	2023-03-25
126	Seesaw Coffee(五角场万达店)	"[服务铃]服务：
真的真的很离谱唉.进门没有招呼.点单全程嗯啊哦.
感觉冷冷清清的呢.和上个星期来完全两个感觉.
重点哦！ 他们咖啡师抽[emoji]不洗手[emoji]?[emoji] 真的不理解哎
还有还有它们家好像不拉花哎 直接倒进去的那种！！
[薄荷]环境：
本来想拍拍照片的感觉雾蒙蒙的很好出片.
结果从来没有见过怎么恶心的外场！！！
外面满地[emoji]屁股唉… 而且全是垃圾…
一直想问问是不是店长换人了？[流泪]
想着想着还是算了 还好隔壁皮爷.
要不然真的不知道去那里坐1??坐了"	2023-03-24
127	Seesaw Coffee(世茂广场店)	一般的口感，山茶花有加了感觉盖了咖啡的原来味道，尝了一下，不会考虑再喝[呲牙]	2023-03-24
128	Seesaw Coffee(竹辉环宇荟店)	特地说了咖啡和没吃的面包不要收掉，回来了还是被收了……醉了[撇嘴]	2023-03-24
129	Seesaw Coffee(北京远洋未来广场店)	一般般吧，主要是价格小贵，喝的出来是挺好的咖啡豆，但是呢，就是个标准水平，没有很强的特色。咖啡店比较隐蔽，我都没找到，最后还得打电话问店员才找到，还有就是店面不大，但是装修风格挺年轻现代化的，适合年轻人哈哈哈	2023-03-23
130	Seesaw Coffee(浦东嘉里城店)	这一波服务员态度越来越差，提前小程序点好的东西，十分钟前提示我可以取餐，过去结果还没好，还有一次备注清了打包进袋子，提示可取餐，过去还是等，麻烦提高一下服务态度，特别是有个短发微卷的女服务员高冷的要死，你们是服务行业拜托，别浪费了seesaw的口味	2023-03-23
131	Seesaw Coffee(苏州中心店)	咖啡是提神良药。加上我一天都喝两三杯，所以午后苏州中心逛累，当然必须找一家不同的咖啡厅享受一下午后时光！点了杯桂花拿铁，个人喝不习惯，並不是桂花不合口味而是“奶”不知是什品牌的奶喝了整个人非常不舒服，反腻的感觉过半小时后开车回家有点小惡心！同行友人也觉得人不太好。[难过]	2023-03-22
132	Seesaw Coffee(上海万象城店)	店员态度真的好差啊	2023-03-22
133	Seesaw Coffee(石景山六工汇店)	"首钢园目前没有什么好咖啡，随便选了一家连锁的。

缺点：服务人员无法及时发现上一桌遗留在桌面和地面的食物残渣，当然这个和上一家吃相太恶心也有关系。

缺点：做咖啡好慢，明明感觉店里人不多。

缺点：咖啡味道淡，无论是「冰美式」还是「山茶茉莉拿铁」，在冰化掉之前就已经很淡了。没什么咖啡味，和星巴克的水平差不多吧。

缺点：这个甜品应该是植物奶油，都是一颗颗挂上去的，奶油口感硬，叉子可以在奶油上立起来，一拨拉，一块奶油就掉下来。不过大部分咖啡店甜品都非常差，你也不能说这个店对口味的态度有什么问题，整个行业的甜品供货都不行。

优点：这个景观位非常不错，落地窗看外面很舒适。座位间距比较大，有一定舒适感。"	2023-03-22
134	Seesaw Coffee(北京西红门荟聚店)	点了拿铁，非咖，喝起来感觉中药味[抓狂]，和其他咖啡喝起来感觉不一样，但是整个荟聚就这里还有剩余的座位可以休息，座位比较奇葩还是上下排的，上面一排下来可能得跨过下面的人脑袋下来，是不会去第二次的那种店。	2023-03-22
135	Seesaw Coffee(上海前滩中心店)	一直觉得这家店做咖啡的工作人员态度都不怎么好 而且每次去不同的人态度都出奇一致的冷漠 说话口气脸色都不好 今天一个员工给我去冰块不情不愿 另一个员工给我面包袋子直接甩给我 都不是好好的递交 简直了 可能就是这家店的风格 宁愿多跑点路去附近另外一家	2023-03-21
136	Seesaw Coffee(北京朝阳大悦城店)	三明治应该是面包吧，怎么成了卷饼	2023-03-20
137	Seesaw Coffee(苏州中心店)	不好喝	2023-03-20
138	Seesaw Coffee(武汉万象城店)	"好淡，不好喝
喝不到豆子的香气，奶味也一般
各种各样的特调，还不如把本来的拿铁咖啡做好
上海入驻武汉的咖啡品牌里，我觉得品质最需要提升一下的吧
价格和品质不成正比[微笑]"	2023-03-20
139	Seesaw Coffee(世茂广场店)	位置能不能稍微修补一下，太破了[吐]	2023-03-19
140	Seesaw Coffee(中骏世界城店)	"繁忙的周日上午
见缝插针的来旁边优衣库给桃子换拿错号的衣服
一个胶囊难以为继
还是要搞一口冰美式续命

扫二维码点单
前面只有一单外卖的情况下
三分钟就拿到咖啡了
味道清淡平衡
没有特别突出的酸或者苦味
但做为28块一杯的冰美式
性价比太低
起码我觉得跟711的12块一杯的没啥区别

室内室外的桌上都不大干净
喝完的杯子没人收
室外的桌上更甚
都是蛋糕渣子和水渍
也许是因为只有一个店员
其他人还没上班
顾不上吧
但确实看着不太舒适

三两口吸溜完了走人
也不必太走心
没有期待也就不会失望
但失望其实是什么呢？
我觉得我已经想明白而且能非常简洁的回答这个问题了"	2023-03-19
141	Seesaw Coffee(北京枫蓝国际购物中心店)	"[薄荷]环境：
地方不大，在商场的入口处。有四个小桌子可以坐着喝。
[服务铃]服务：
不知道是我心情不好，还是咖啡师心情不好，总之感觉气场很不合，他的情绪影响到了我。
「繁星桂花拿铁」以至于我对于喝咖啡都没了兴致，也就一般吧。"	2023-03-19
142	Seesaw Coffee(上海吴界277店)	"也不知道是从什么时候开始，越来越觉得seesaw是一家设计公司而不是一家连锁咖啡店。
今天的开会吃了两块seesaw的蛋糕真的不好吃，工厂出品，被芝士蛋糕齁到，千层蛋糕就是在吃很老的奶油蛋皮，全家冷藏柜的蛋糕状态都比这个好[再见]
几年前还挺喜欢他们家的蛋糕的"	2023-03-19
143	Seesaw Coffee(成都新希望D10店)	服务员经常不在位，空间坐哪个位置都很不舒服，下午5点就关门了，四点半服务员就来提醒了。	2023-03-19
144	Seesaw Coffee(世博源店)	"[服务铃]服务：
小哥爱答不理，问个wifi密码问了6遍，不理我，不知道是失恋了什么怎么样。
「山茶茉莉拿铁」比星巴克当季好喝。
没有
[薄荷]环境：
没有插座，不适合办公，可以看书。"	2023-03-19
145	Seesaw Coffee(上海龙湖虹桥天街店)	明明是虹桥天街扫码点的，却是虹桥天地店做的，这扫码系统有大毛病	2023-03-18
146	Seesaw Coffee(上海金桥国际店)	开心果拿铁一点没有开心果味道 就是普通拿铁味道 不理解[发呆][发呆][发呆] 噱头吗	2023-03-18
147	Seesaw Coffee(环贸iapm店)	提拉米苏齁甜不好吃啊	2023-03-18
148	Seesaw Coffee(石景山六工汇店)	"附近无法停车，打电话问怎么停车！服务员也不知道怎么停！也不说店里有30杯咖啡外卖要做！
兜到六工汇里面停好车，走过去。告诉要等30分钟！谁吃个早午餐要等30分钟！外卖和店内堂食一杯两杯得顺序完全可以灵活调整一下！
首钢园内咖啡厅至少八家，仅供参考！"	2023-03-18
149	Seesaw Coffee(杭州天目里店)	"喝过好几款，咖啡味道水平一直很稳定，但是这个联名之后，冲着可爱买了，因为这个糖果味道过重，导致本次体验并没有很好
虽然很可爱，但这种结合好像很僵硬，有种画蛇添足的感觉，而且也没地方放，不拿着还不能喝咖啡，有点奇怪"	2023-03-18
150	Seesaw Coffee(浦东美术馆店)	"开在美术馆出口处，价格贵也就罢了，扫描桌上二维码点单，做好后竟然不能给送到桌子，要听叫号自己去取，头一回在餐厅遇到这种待遇，服务没跟上产品价位啊。

[薄荷]环境:背靠美术馆得天独厚的位置和建筑设计条件，自然没得说。"	2023-03-17
151	Seesaw Coffee(世茂广场店)	男朋友在网上看到说这是上海四大精品咖啡之一所以我来了 本来买了大众点评的券但是人工窗口繁忙 我就小程序里面看了下 有38两杯的山茶花系列，价格倒是不贵但是这个味道也太淡了吧 这里面究竟有咖啡吗我天 茉莉花放的挺多的但是不会再喝了真难喝	2023-03-17
152	Seesaw Coffee(南京水游城店)	没有拉花的咖啡总觉得缺了点啥。胸口名牌也是空白没有名字，带了个寂寞	2023-03-17
153	Seesaw Coffee(武汉万象城店)	"「山茶茉莉Dirty」
「山茶茉莉拿铁」
「山茶茉莉轻乳茶」

新品真的好难喝[emoji]"	2023-03-17
154	Seesaw Coffee(上海七宝万科店)	感觉一般吧 价格有点偏高 也要三十好几一杯。也没有感觉哪里特别好喝	2023-03-16
155	Seesaw Coffee(成都中鼎国际店)	都很一般	2023-03-16
156	Seesaw Coffee(竹辉环宇荟店)	"去年喝的，后来再也没去过那片……去的时候店里人也不多。
感觉没有苏州中心的态度好！也可能是新开业没有培训到位吧……理解了。喝的是繁星桂花拿铁，真的如果可以重来我一定不选它！简简单单的拿铁咖啡来一杯就好了。齁甜齁甜的避雷此款。"	2023-03-16
157	Seesaw Coffee(晶耀前滩店)	我就纳闷了 工作日晚上能不能安排个员工在前台看下生意 不是所有人都是手机小程序点单的 需要用代金券永远找不到人等半天 有时候前厅有来单提示音 也不见出来店员做 楼上mstand员工基本就没离开位置过 老板不想赚钱麻烦在工作日晚上关门谢谢	2023-03-15
158	Seesaw Coffee(北京朝阳大悦城店)	只有一句：咖啡难喝至极、蛋糕甜度超标！再也不会来了	2023-03-15
159	Seesaw Coffee(杭州西溪印象城店)	从来没有喝过这么难喝的美式，咖啡上面一点油脂都没有，冰美式喝的跟常温的一样，店内环境还不错	2023-03-15
160	Seesaw Coffee(北京东方广场店)	"带标签有助于点击率吗#路易波士茶拿铁#

看到好像所有咖啡店只有这两家在卖路易波士茶拿铁（不含咖啡因）。都是买的+牛奶，然后买来对比一下。

结论：都不好喝，lavazza略好。
然而：seesaw一杯35元，lavazza一杯29元还有新人五元立减优惠卷=24元
解决办法：+5元改成燕麦奶或在家用任何其他茶叶+牛奶自己做。"	2023-03-15
161	Seesaw Coffee(武汉花园道店)	"武汉行唯一踩雷之咖啡 | Fielding2023
_
seesaw算一家南宁没开但有名气的连锁牌子
回家前一天想着探店体验一番，结果并不好。
_
点了新品栀子花拿铁啥的，甜腻，糖浆太呛人了，这已经不是一杯风味拿铁，是一杯甜腻呛人的栀子花香精肥皂水啊。也无心情再点一杯原味拿铁试试，经典款也许会好？
说说环境，没顾客，店里闷热，女店员也比较闷，就整个店就""闷""，体验并不好。
_
花园道那里咖啡店竞争挺大，星巴克特别漂亮，M stand人气也很旺，seesaw这样并看不出是一个大牌子连锁应该有的状态。
_
e.n.d"	2023-03-14
162	Seesaw Coffee(杭州湖滨步行街店)	"seesaw的美式，有点难喝哎[emoji]
8.1元的tiktok团购价都无法拉升好感度…"	2023-03-14
163	Seesaw Coffee(上海虹桥天地店)	"点的栀子花的去冰给我做的的是热的，我和服务员说做错了，我的是去冰的，其解释去冰就是热的[调皮][调皮][调皮][调皮]不烫嘴
没办法，拿着喝了还是不喜欢热的口感，也没有为难服务员，只是我想知道去冰的咖啡真的就是热的吗？真的是热的吗？至少45度的那种"	2023-03-14
164	Seesaw Coffee(上海环球金融中心店)	seesaw的品控和服务态度越来越差了！问点单小哥标准杯和大杯咖啡原液分别有多少shot，我问他shot他回答我盎司[笑哭]答非所问。回答的态度也非常不好。然后我和同事要的都是少冰少甜，给我的是一杯温热的正常糖的。[笑哭]你们家本来不是做精品咖啡的嘛？味道越来越差，服务也越来越差。以前还有手冲，现在连手冲都么得了[笑哭]	2023-03-14
165	Seesaw Coffee(环贸iapm店)	"开在环贸边上靠近电梯那里，走得累了休息一会，座位敞开式的，环境有点吵，可能太忙了吧，服务员收桌子不太积极，桌子还是自己擦的。第一印象就不太好了。
咖啡还是统一出品的品质，豆子有点偏酸，不太爱喝…总体来说无功无过，性价比一般"	2023-03-14
166	Seesaw Coffee(武汉万象城店)	逛累了就随便找了家买喝的，买的一杯dirty量好少，味道有点奇怪，我是外外没想到的，做的很快，让我觉得我一点含金量都没有，是不是被坑了，价格也不便宜，希望下次能喝到好喝的，如果第一次去，希望帅气小伙能推荐一把，搞点好喝的，这样才能留住新顾客啊[流泪]	2023-03-13
167	Seesaw Coffee(上海缤谷广场店)	"说到咖啡?真的一般般还没TIMs好喝
地方不大～"	2023-03-13
168	Seesaw Coffee(环贸ICD店)	在这个商场排名第一的咖啡 点了一个澳白和三明治套餐 价格一般 味道也一般 咖啡香味不浓 三明治又略咸 有点失望	2023-03-13
169	Seesaw Coffee(上海百联世纪店)	真的很差很差，第一次看到用塑料冰杯接shots的，燕麦奶不会摇匀，拿铁没有任何融合动作，太离谱了真的太离谱	2023-03-13
170	Seesaw Coffee(环贸ICD店)	"话说这牌子性价比不高
口味中规中矩
没有特别出彩
至少没有经验到我
奇怪得咖啡店现在衍生产品都快盖过咖啡得热度咯
比如面包比如包包………
我还是忠实得口味爱好者
没有特别出彩
至少没有经验到我
奇怪得咖啡店现在衍生产品都快盖过咖啡得热度咯
比如面包比如包包………"	2023-03-13
171	Seesaw Coffee(竹辉环宇荟店)	环宇荟那边第一次去，以为很棒的。结果去了发现好无聊，就来了seesaw喝个咖啡，吃个甜品。觉得咖啡真的糖浆太多了，已经少糖了，根本喝不下去。喝了两口放弃，这个蛋糕也是含泪吃完不浪费，不适合我的口味。[调皮]	2023-03-12
172	Seesaw Coffee(上海国金中心店)	首先说下食物吧，点的新品，好喝的，蛋糕也比预期的好吃。但是其它的都不太行。到收银台点单，店员头都不抬的说自己扫码点，那收银台放着干吗的？桌子小的一点点，两杯饮料一个蛋糕勉强放下，再多点一样都不行。明明堂食，给的外卖杯，蛋糕也是外卖盒，真的是糟蹋食物，也不懂得环保。	2023-03-12
173	Seesaw Coffee(杭州天目里店)	每周日要来天目里附近办事，正好有1个小时的时间，今天来seesaw坐了下。人挺多，最后一个空位。点了桂花拿铁，口感一般般。今天稍微有点冷，特地要了热的，但是口感就是温吞吞的。环境也一般般，座椅也不是那种很舒服的。就普通吧。	2023-03-12
174	Seesaw Coffee(北京双井富力广场店)	点的团购选的桂花拿铁，桂花味一般，奶比较重。整个店就一位小姐姐服务，态度还可以。	2023-03-12
175	Seesaw Coffee(北京朝阳门首创大厦店)	"本来看到桂花拿铁满满期待，兴致冲冲就来了。结果体验并不是太好。

记得很多年前应该在王府井喝过一次seesaw?这次来新店，结果店实在太小了，只有一位服务员，外卖又很多，所以一杯咖啡等了10分钟[捂脸]这家是只有两个座位的那种外卖店，所以我傻傻地站在那10分钟等一小杯咖啡[笑哭]想想就心酸。豆子太苦了，和桂花不是很搭，奶的味道又太淡。桂花拿铁可真的不是随随便便把各种材料混在一起就齐活的啊[流泪]"	2023-03-12
176	Seesaw Coffee(上海中信泰富Mall B1店)	"seesaw的水准越来越不行了，门店开的可能太多了。原本咖啡做的很高调，现在调制型咖啡做的都太甜，像极了奶茶，失去了初衷的感觉。
蛋糕也是，卖相很吸引人，味道却差强人意。

[薄荷]环境：
中信泰富这家门店在地下的商场，人不多
「澳洲白拿铁」从一开始试他家澳白开始，就觉得还不错，现在试了新品山茶花的，我这个人啊就是喜欢试新，结果就会踩雷很多，山茶花拿铁咖啡太甜，看来回归原味拿铁最好。不喜欢吸取教训下会继续踩踩踩。"	2023-03-11
177	Seesaw Coffee(世博源店)	"dirty配不上山茶花。就想说说这个山茶花新品，山茶花系列的咖啡，一热一冷，热拿铁上撒上山茶花，一股香气被带上来，沁鼻。但冰冷的dirty撒上山茶花，就是个失败，没香味，型也是蔫的，没有加分的口感。

[服务铃]服务:
买单的小哥没有提醒询问我们是不是会员，新人会员是有折扣的。"	2023-03-11
178	Seesaw Coffee(杭州滨江宝龙店)	"你们自己做的咖啡自己喝过吗？
元气美式的味道就是美式加了元气森林，
这两个单独拎出来都没问题，
但是合在一起就和喝多了吐出来的味道一样你们知道吗，真的好恶心，没喝过这么难喝的咖啡，实在是恶心到了，到底是谁想出来的搭配，
服务员也是厉害，不理人的，只让人扫码付款，我寻思你们找个机器人做咖啡不是更好吗？对吧，能省不少钱。"	2023-03-10
179	Seesaw Coffee(世博源店)	在这家点了磅蛋糕外卖，蛋糕在完全解冻的情况下一点水分没有已经风干成硬块，问商家居然说磅蛋糕就是这个口感，要搪塞消费者是不是也应该有点常识和智商？	2023-03-10
180	Seesaw Coffee(武汉万象城店)	今天晚上九点左右当班的男生真的讲话很影响人心情，在我表示第一次在你家消费并且希望用招行信用卡买单但不知道怎么下单的时候，连续三次以上质问我，招行信用卡买单用过的都会啊，你不会么？我实在搞不懂你就跟我说怎么下单就完了的事，紧着问是个么意思，显得你能些？现在做服务都这么拽么，不想做生意可以早点打烊。	2023-03-08
181	Seesaw Coffee(北京朝阳大悦城店)	"楼下某店有活动，所以选择来这家店，总的来说，我认为这家店可以用德不配位形容。
一、饮品味道马马虎虎，部分饮品没有无糖选项。
二，插座极其松垮，接近不可用。在此基础上，店家没有任何补救措施，无usba口数据线、无充电宝，对临时办公人士极不友好。
三，卫生敷衍。能理解店员少无暇顾及，但经营者真的缺雇佣一名专门卫生人员的资金吗？图二是不知道什么时候来的顾客丢下的口罩。
四，网速较差。
五，桌椅使用体验差，不舒适。
总之，不会做线下店就别做，专心线上收割吧。真是白瞎了这个好位置。"	2023-03-08
182	Seesaw Coffee(成都摩方店)	很差劲，东西难喝不说，出餐不按照顺序出，一直等，烦	2023-03-08
183	Seesaw Coffee(石景山六工汇店)	店员人手少，好多顾客走后的垃圾还在。尝试了拿铁咖啡，有些淡，	2023-03-08
184	Seesaw Coffee(北京朝阳大悦城店)	咖啡非常难喝，没有拉花，没有泡，就是勾兑的。蛋糕是速冻的，甜腻难吃，不推荐	2023-03-07
185	Seesaw Coffee(重庆星光68店)	"这家店应该是重庆第二家吧，之前万象城开业还专门去打卡，没多久星光68就开了。
  不同于万象城人气，第一次来就没多少人，可能所处的位置原因，人不多也好，不吵。
  不知道是不是一直这么人少，至少每次来都没啥人，这次试了新品茉莉味的啥，味道其实可以，但是口感很差，每一口都喝到泡融的花瓣或者小花梗，这个体验很不好，其他还行"	2023-03-06
186	Seesaw Coffee(世茂广场店)	喝到现在最差的dirty，堂喝到手就是液体已经混了，不像dirty根本就是拿铁，没啥茉莉花味，漂的茉莉花就是噱头，喝了三四口实在忍住店里直接写点评评论，38块钱不值	2023-03-06
187	Seesaw Coffee(成都IFS店)	"诞生于上海的seesaw，之前在上海杭州都比较火爆。此前出的帽子，西湖水的杯子等等，都有购买。
之前在成都悠方开店，也引起了不小的话题度。
在IFS负二楼开店，记得以前是满记吧这里。
开放式的休闲区，增加了绿植氛围感满满。
生椰拿铁一般，朋友一点不喜欢，服务也拉垮。
和Mstand一样不行。"	2023-03-06
188	Seesaw Coffee(景枫中心店)	第二次也是最后一次喝seesaw了，啥梨香栀子花，真的很扯，栀子花干咬在嘴里是那种奇怪的甜味。而且服务态度很一般，全程黑脸那种。	2023-03-06
189	Seesaw Coffee(上海田子坊店)	在琉璃博物馆内，没有独立的店堂，地方不大，比较简陋。只有一个店员，我进门时他还在店外抽烟。。。然后看到我了，就进来点单制作。菜单里一大半都是植物奶系列，牛奶的选择不多，我不喝植物奶，最后点了摩卡，味道很一般。	2023-03-05
190	Seesaw Coffee(杭州西溪印象城店)	"套餐味道倒还不错
蛮小的一个点
随便吃吃还行吧！"	2023-03-05
191	Seesaw Coffee(北京朝阳大悦城店)	"服务基本没有……环境可以就是有点吵闹
口味…咖啡太淡了
蛋糕不好吃！"	2023-03-05
192	Seesaw Coffee(上海国金中心店)	"最近打卡了陆家嘴三家Seesaw，这家店是在国金B1电影院旁，店铺比较小，整个空间相当紧凑，堂食的话座位非常少，来晚就只能打包带走了，用餐环境相当一般。

点了莓莓薄荷巴斯克蛋糕，真的是硬着头皮吃，太难吃了，整个味道非常诡异，就最底层的巴斯克口味还马马虎虎。还有蛋糕明明告知堂食，却给装在盒里，怎么店里连碟子都没有吗?

开心果果拿铁是在环球店点的，不知道为什么只有他们家可以点，结果买家秀和卖家秀差别巨大，没有青蛙棒棒糖，喝起来也丝毫没有开心果味，不推荐！相比之下最好喝的应该就是栀子花梨香拿铁，香味浓郁，就是热饮的标准杯很小。"	2023-03-05
193	Seesaw Coffee(北京东方广场店)	"店很小很小
有四张小圆桌子
坐不超过十个人
今天不想喝咖啡
点了柠檬茶
一股子中药味
不好喝"	2023-03-04
194	Seesaw Coffee(杭州萧山万象汇店)	"不好的体验。
性价比不高
不会再来"	2023-03-04
195	Seesaw Coffee(浦东嘉里城店)	"“能做原味的Dirty么？” -“不行只有山茶糖浆的那个”
“我买杯拿铁然后能给我做成Dirty么？” -“那不就是去冰拿铁么”
32一杯的澳白是用机器自动打的，拿铁还没有全家的好喝。
真的好奇嘉里城为啥不开Manner，哪怕M Stand也能行。"	2023-03-04
196	Seesaw Coffee(西岸凤巢店)	我印象中早几年的seesaw咖啡还是比较讲究豆子品性的，店内也会陈列各种不同产区风味的豆子。好久未喝过seesaw，这次喝过感觉普通了很多。30元一杯的拿铁性价比一般般，过于普通。店内环境布置比较简单，咖啡师专注于做咖啡洗杯子叫号，店内座位舒适度也一般，餐桌上还有残留的纸杯纸巾未收拾。。不断有外卖小哥跑进来取咖啡，体验感一般般	2023-03-02
197	Seesaw Coffee(深圳壹方城店)	第一次喝这家的coffee 感觉还行中规中矩 感觉味道略淡了点 味道不浓郁 能喝出花香味 其他倒没什么特别的	2023-03-02
198	Seesaw Coffee(上海中化国际广场店)	在商务楼大堂里面，很小一间，感觉外来的要买一杯不太方便，好像也没什么座椅。	2023-03-02
199	Seesaw Coffee(北京枫蓝国际购物中心店)	"本不想点评，但是刚刚饿的时候想起早上的早餐肉桂小面包还没吃，想着垫垫肚子。今天的这个整个一个硬邦邦呀…这早上烤炉里热了多久，都干吧了！还有一块糊掉了！
再说早上取餐的感觉吧…今天早上的员工都是新人吗？8点多那外卖员乌压压的一片围在吧台等着取餐，但是今天早上的工作人员…ummm，实属效率不高！东西也找不到！所有真心的建议这早班有早餐有外卖的时间段还是放老人效率高呀！
口味的2.5[emoji]是给那个肉桂小面包的
服务的2.5[emoji]是给早上的工作人员的"	2023-03-02
200	Seesaw Coffee(上海中化国际广场店)	很久没喝到那么难喝的咖啡了，咖啡都回味感觉有种蛋清味，难以言喻	2023-03-02
201	Seesaw Coffee(上海张润大厦店)	"今天来这开会 第一次过来张江  属于seesaw 忠实粉了
没想到这次喝的口味非常的糟糕 和浦西都不像一个味。桂花糖像不要钱的 甜的发hou 甜过头了！[流汗][流汗][流汗]

[薄荷]环境：
环境感觉很朴素 篮球框感觉有点离谱。物业不弄一下吗 个人觉得太丑了哈哈哈哈。空调感觉不够暖啊 太冷了同事也都觉得一般般 没浦西好 看来张江还需要调整啊
[服务铃]服务：
一般般 没有什么特别的推荐 一个劲说手机点单无语[emoji]

点开大众才发现 张江居然还有两家店 一看这么近距离 牛额 公司也不做一下调整的吗 狠的 不考虑自己公司旗下店铺收益的吗 冒昧问一下还能赚到钱吗[擦汗][擦汗][擦汗]"	2023-03-02
202	Seesaw Coffee(上海南翔印象城店)	楼下的manner人太多 就跑来喝他们家了 点了一杯 桃桃美式 就离谱。。 均价比其他连锁咖啡贵好多 但是真的很一般很一般很一般	2023-03-02
203	Seesaw Coffee(杭州西溪印象城店)	店面装修挺大的，在负一层，空间宽敞算。点的「繁星桂花拿铁」说是他们家招牌，感觉口味一般，和其他几家咖啡品牌比，咖啡味也不够浓郁，有点甜啦，口感确实一般，不会回购了。他家周边做的到是比咖啡要好，都可可爱爱的，价格也算适中。	2023-03-02
