门店名称,评论内容,评论日期
Seesaw Coffee(成都摩方店),和朋友健身前来seesaw买早点+咖啡，宣传单上有的套餐，小程序点开结果没有，只好单点其它。咖啡单价贵（soe美式卖到了42🤯），出品普通，速度还慢。这一次的体验不太好。,2022-03-19
Seesaw Coffee(北京三里屯机电院店),为啥下午5点就关门咩,2022-03-19
Seesaw Coffee(南京水游城店),"朋友推荐来的，说是让我感受一下南京最差的咖啡厅，
哎我一个资深咖啡爱好者偏不信邪来了

点了一杯拿铁，价格真的是很“亲民”了，早知道那么难喝我就去对面星巴克了，36一杯，我不知道我喝了个什么东西，我点的拿铁，不是卡布，让我喝奶泡是什么意思，咖啡香气很加分但是入口只有苦到靠北，用的还是明治牛奶，出品随便给我融合一下，咱们就是说现在做咖啡连花都不用拉吗？忙不给我拉花我可以理解，我寻思店里也没几个人，花36喝一杯拿铁连拉个花都不会嘛，作为一个咖啡师能不能对得起这杯咖啡呢，给人体验真的有够差，喝到一半走人，真的很无语[微笑]",2022-03-19
Seesaw Coffee(上海丁香国际店),有点离谱啊，也不是第一次喝Seesaw，抹茶拿铁竟然可以搅拌成这样我也是头一次看到，给我的解释是，冰的就是这样的，搅不开，麻烦你要么再去培训一下吧，我2018年入坑Seesaw到现在，第一次看到这样的出品!丢Seesaw的脸[发怒][发怒][发怒][发怒][发怒],2022-03-18
Seesaw Coffee(杭州萧山万象汇店),"讲实话，桂花拿铁一般。
不过肉桂卷据说还可以，毕竟萧山能买到的店也没几家，不能跟屏风街比。",2022-03-18
Seesaw Coffee(南京水游城店),之前去过上海的店，到南京店给我的体验很差，服务人员态度不是很好，问一份浓缩多少毫升居然回答不知道🤷‍♂️,2022-03-18
Seesaw Coffee(建邺吾悦广场店),这两款咖啡真心不好喝，其他品牌星爸爸，瑞幸等品牌，感觉随便挑一款都比这两款好喝，我要崩溃了，被老公嫌弃了一上午,2022-03-18
Seesaw Coffee(杭州湖滨步行街店),"「白柚红美式」点了冰的美式，感觉一般，味道普通，应该不会在点第二次了！
「繁星桂花燕麦拿铁」听着名字点的咖啡，报着试试的心情试喝了一次，桂花味比较淡，基本不太喝的出来，但是总体来说不错，微糖就可以了。
下次可以试下其他的咖啡！",2022-03-18
Seesaw Coffee(财富购物中心店),堂食出餐那么慢，一直在出外卖，你家干脆直接做外卖吧……何必开个店呢……理解人手可能不够，说是外卖和堂食交叉出餐，可是外卖都出了十几餐了，堂食一餐没出，是你们对交叉出餐的含义有误解吗？？,2022-03-18
Seesaw Coffee(中骏世界城店),之前一直一直很喜欢seesaw的咖啡，最近开始点外卖早餐，今天通过小程序点了这家派送的早餐，打开面包包装，赫然发现一根长长的毛贴在面包表面…………我就大大的一个很无语……关注下食品卫生吧………对这点很失望。当然咖啡还是很好喝。因为小程序无法投诉，所以只能来这儿表达意见。,2022-03-18
Seesaw Coffee(杭州湖滨步行街店),一般吧,2022-03-17
Seesaw Coffee(上海主场ESP店),奉劝各位都不要来！！！疫情期间这里店员加热吃的，不戴口罩手套，挖鼻屎挠头发，我看到让他们另外一个店员帮我重新换一份态度差的要死，像我欠他的,2022-03-17
Seesaw Coffee(南京水游城店),"定价越来越离谱
是手冲不行还是胶囊不香
PS：标准化出餐做的很差 失望……",2022-03-17
Seesaw Coffee(上海七宝万科店),"虽然是是特殊时期 但是服务也不至于打折吧。口碑买的羊角可颂 就给我烤焦了？
首先 兑换的时候没有问我是不是会员？上次的小哥哥主动问我要不要绩点
其次 也没有问我羊角要不要加热就给我加热了。晚上六点要不是要封小区了 谁那么晚买咖啡。一摸是热的 本来不想吃的 但一摸实在太硬了感觉加热过度。第二天不能再加热了。
果然梆梆硬！里面都焦了！本来很喜欢这个牌子的咖啡 无法置信",2022-03-16
Seesaw Coffee(成都大悦城店),"还没开业就挺期待的，然而开业这么久我才去打卡。
也主要是因为两家店都不是我经常活动的范围，所以这次也是专程过去拔草的。
 
某个周末的早晨，到店时间是10：20。
我想说早点去，人少，开业悠闲喝杯咖啡，吃个面包的。
然鹅，店员小哥一人很忙碌的点单、制作咖啡、招呼客人，还要应付外卖各个平台的外卖小哥。
 
因为我是专程为了它过去的，所以在明知会等很久的情况下，我还是下单了两杯咖啡，一款面包。
为了可以少等一会儿，我特意在柜台前，帮那位忙碌而辛苦的小哥哥打下手。
装一下袋子啊，递一下快递啊，封一下外卖袋之类的。
主要是觉得他确实好辛苦好忙，我反正也是没事，举手之劳嘛。
再就是，想说这样我的单也可以更快一点被安排上，一举两得嘛。
 
果然，我的咖啡比预期快了点拿到手。
可惜，因为确实太忙碌，咖啡出品比较凑合，没有颜值，味道也一般。
我和导哥都很失望，感觉一大早出门赶过来完全不值得。
 
有多丑，自己可以看图。还好那款【熏鸡芝士丹麦三明治】出乎意料的好吃。
可惜不是烤箱加热，也不是现烤出炉，所以丹麦酥皮的脆度已经完全没有了。
好在，中间的熏鸡芝士馅儿很有惊喜感，酱也比较浓，我俩吃得满意。
 
好吧，咖啡店的咖啡不行，",2022-03-16
Seesaw Coffee(北京三里屯机电院店),"不到30平米实用面积的店里杵着6个店员，谈笑着，不仅对自己挡住动线毫无察觉，还在我问“这里这么吵，隔壁这个装修声音今天会一直持续吗？”的时候漫不经心地回答“可能是吧”（身子都没正对着我）
我表示太吵离开，也没有任何一个店员搭理一句说下次再来（并依然挡着动线）。
我看seesaw咖啡三里屯店要黄。",2022-03-16
Seesaw Coffee(浦东嘉里城店),很想给这个网红打低分啊……和客户约在嘉里聊聊，对方定了seesaw见面。买的双人套餐，蛋糕很像打包产品，两个人面对面打开塑料盒，感觉乖乖。最可怕的是澳白，我喝出一股馊掉的味道。是我无福消受这款网红吧，总之这种口味的澳白我第一次喝。,2022-03-15
Seesaw Coffee(财富购物中心店),"一直没有get他的点在哪里，明明不便宜，同价位可以喝到其他更好喝的咖啡。可能是出新的速度？
不过之前一直不怎么搞活动，最近也开始疯狂发券。

这次体验不太好，点了两杯没有给贴标签，而且拿到之后跟图片差很多，和朋友根本分不清谁点的。",2022-03-15
Seesaw Coffee(晶耀前滩店),"「芝士丝绒热拿铁」可以理解成芝士奶盖拿铁，奶盖一般般，咖啡豆的香气被改掉很多，减了甜度还是有点甜。seesaw目前出的季节特饮，还没有特别好喝的，感觉没有很认真在研发了。失望
这家店常年非常吵，基本都是打包带走。
☕️：22/01/21",2022-03-14
Seesaw Coffee(上海七宝万科店),"很久没有喝Seesaw了，而且他家的新品名字好好听呢

「轻云桃桃美式」看图片颜值真的很高，但亲自点了以后只能说还是不要轻易尝试美式的新品奇奇怪怪的组合了，简直就是咳嗽药水，咖啡的美感完全没有了

以后还是老老实实点普通美式吧",2022-03-14
Seesaw Coffee(重庆星光68店),"每种都很甜
取餐无提醒，口头上提醒也无
甜品也要自取
总之，不行",2022-03-14
Seesaw Coffee(上海博华广场店),这大食代里的简陋柜台还是曾经魔都白领的装逼利器seesaw吗？开最low的店卖最贵的价钱研发和咖啡没啥关系的咖啡，seesaw快换管理团队吧这样下去好感全败没了,2022-03-13
Seesaw Coffee(北京通州万达店),口味比你好的咖啡暂且不提 太多了 服务差到极致 慢走不送,2022-03-13
Seesaw Coffee(上海太阳宫K46店),这家电就是个柜台，很简易，没了他家咖啡的特色，又不是M家，味道都觉得失去了一些感觉哈哈哈哈，是我矫情么？总之乱糟糟的,2022-03-13
Seesaw Coffee(上海BFC外滩金融中心店),不知道是这家店个别问题还是seesaw整体水平下滑，等单的时候发现咖啡制作很混乱，看见打一次奶泡分两杯咖啡不够又补一点的情况，看见一份浓缩倒了一半进杯子忘记了发现后又倒完的，该看见冰块放多了盖子盖不上用夹子夹走几块冰块的。一个正规咖啡店这种操作都不应该出现啊。,2022-03-12
Seesaw Coffee(上海南翔印象城店),过年期间去的，人太多单子太多，以致有点乱哄哄。咖啡是还可以的，就是点了两款甜点比较一般性，不够精致而且桌子都偏小，咖啡蛋糕一摆感觉都好挤。而且人一多就很吵，好多客人在催单，咖啡师动作也不是很熟练，估计也是刚开业的缘故,2022-03-12
Seesaw Coffee(远洋乐堤港店),"咖啡没有问题。
但是！两位咖啡师，一个没戴口罩，一个只把口罩兜在下巴上。且不说现在疫情，商场内人员都应该正确佩戴口罩，从食品安全角度出发，制作人员也应该戴好口罩！",2022-03-12
Seesaw Coffee(深圳海岸城店),咖啡口味很淡，也没有明显的咖啡香气，口味上2分真的不能再多。小姐姐服务态度挺好的～,2022-03-12
Seesaw Coffee(成都大悦城店),一般吧，没有留下任何印象。,2022-03-12
Seesaw Coffee(北京双井富力广场店),"以前总在机电院那边喝这家，但是都点外卖，今天正好路过一家新开的实体店，总体感觉不好。本来想团29.9的任意创意咖啡，看到有49.9的套餐就准备团，套餐中有3款三明治，已经选好了黑松露三明治，营业员告诉说套餐的都没有只剩一款鸡肉的三明治有了，考虑到商家优惠的不易就妥协了同意选这款三明治，谁知道这才是一路被服务员逼退不停妥协的开始：
1.这家品牌一向很甜，所以和服务员商家能不能不放糖浆，服务员回答说不可以，只能少放[发呆]好吧，可能是这家品牌的品控坚持吧，遂好奇的问“少放”是多少，服务员回答说“不知道，就是少放”，这感觉就非常的不专业了，特别是一家服务员自己强调如此坚持品控的品牌连“少放”的标准是什么都不知道，是培训没有到位还是自己没学[偷笑]。
2.服务员不同意不放糖，那唯一一款没有糖的冰耶拿铁可以做热的吗？答：不可以，因为套餐就是这样规定的，一个字都不能改。那请问服务员，套餐里明明有3款三明治你这家店应该提供给顾客，你说你们只有一款三明治，那你自己说改了套餐里多少字？只要你们店员可以改，不能接收顾客有任何意见是吧？所以你们才是上帝。不放糖浆只是减少咖啡的配料，而非增加咖啡的配料，真是理解不能。
3.最后选了后",2022-03-12
Seesaw Coffee(上生新所店),"周六的早晨坐在洒满阳光的咖啡店门口喝一杯澳白，谁又能拒绝这样的诱惑呢？

可惜出品非常令我失望。
第1杯澳白端上来：
    满嘴的焦苦味儿，奶泡打发的不及格，拉花简直不堪入目。实在喝不下去，我就找店员申请重新做一杯。
第2杯澳白端上来：
    我先问了店员是不是重新调过没，他点头说是。打开杯盖一闻，原来是换了豆子。应该是换了他们店里的soe，拉花也比之前好了很多。但是我不得不说，这一辈的出品我仍然给不到及格分，主要是因为萃取不够均衡，酸是酸，苦是苦，虽然很微弱，但是还是能清晰的被识别到。

[薄荷]环境:
这个店的装修很奇怪，是一个洞窟或者说是放大的火车车厢的造型。店里面的整体布置属于非常简单的美式简约风，我个人认为完全谈不上舒适。店门口的这张桌子倒是非常的棒，一来是在户外，二来在早晨可以用阳光直接打到桌子上，坐在这晒着太阳喝杯咖啡，还是非常惬意的。

[服务铃]服务:
店员小哥的服务态度一直很好，包括我找他重新做这杯咖啡也态度很好。

有很多人来这儿拍照打卡，说实话我也不明白是为什么这个装修其实并不好看，咖啡的味道更是不及格。

个人不推荐。",2022-03-12
Seesaw Coffee(重庆光环店),上海来的牌子。但服务员培训得不行，不会再来消费。,2022-03-11
Seesaw Coffee(北京东方广场店),难喝的很,2022-03-11
Seesaw Coffee(重庆万象城店),"翻相册发现了这件生气气的事情……
在seesaw打包了个红美式，本来做完了杯子就有问题，盖不上，杯子都变形了，洒了一些出来，我以为会重新帮我做一杯，结果直接倒进另一个杯子了，好嘛算了嘛反正我也赶时间
结果出了车库没走一截，我发现车里面咖啡味道越来越大，心想不对劲，找了地方靠边看看发现都洒了一半了……晕死，果然这次的红美式没有之前的美味了",2022-03-11
Seesaw Coffee(西岸凤巢店),这家咖啡店也开了很多分店吧，价格不便宜39一杯，但是完全没有服务意识。我手机点单的，然后去问服务员可否其中一杯少咖啡浓度，服务员直接来了句已经调好了。然后明明我前面那个还没做好，我盯着看的，等了一会才再我们两杯里倒牛奶。服务真的很差 完全没有服务客户的意识。只是咖啡浓度减半，你倒掉点咖啡浓度不就好了。又没让你损失一杯,2022-03-11
Seesaw Coffee(上海中化国际广场店),"第一次尝试seesaw家「椰子燕麦拿铁」
不是特别浓郁。
下次试试其他品种",2022-03-10
Seesaw Coffee(杭州湖滨步行街店),这个口味无法驾驭，不会再来,2022-03-10
Seesaw Coffee(成都摩方店),什么咖啡厅会没有地方插电啊，电脑没电了也没法充真是醉了,2022-03-10
Seesaw Coffee(西岸凤巢店),因为有优惠券的原因，第二次在这个品牌消费，入店没人打招呼，询问菜单和咖啡的时候，戴眼镜的短发小女孩只顾自己看手机和旁边人说话，爱理不理，回答问题全程没有目光接触，都是一边看手机一边回答问题。包装食品的纸袋质量不好，给了食物不给餐巾纸。感觉很差。,2022-03-10
Seesaw Coffee(世博源店),一个胖胖的男店员非常非常聒噪，工作状态比在家还放肆随意，扯着嗓子和另一个女店员聊天说笑。店里音乐也非常吵。吵闹的店员配上吵闹的音乐，绝了。望贵司加强员工素质培训。,2022-03-09
Seesaw Coffee(北京枫蓝国际购物中心店),戴眼镜扎双马尾那个*女服务员 态度一点都不好！ 另外你们店能搞个消费区吗？ 所有人都坐在那。,2022-03-09
Seesaw Coffee(杭州新天地店),"这家是新天地新开的店,卖咖啡出名，但是咖啡的味道却很一般，点了一个桂花拿铁，理应是招牌，但味道比较粗糙，有点你不会想喝第二次。反倒蛋糕味道还可以后面就经常点蛋糕的外卖了，再也不想喝他们咖啡了，性价比不高。",2022-03-09
Seesaw Coffee(北京远洋未来广场店),走了一大圈没找着，原来他在商场的外面，我在商城里面没有看到，也没有能从商场里面进去。因为店铺比较小，只有四五张桌子，一进去就没有地方坐，我就很快退出来了。口味儿我也没有尝到，但是我觉得这家店可能主要还是给楼上送餐和周围风外卖，但是店铺的面积这么小。如果只靠同事就别干了，应该还是一个外卖店吧,2022-03-09
Seesaw Coffee(上生新所店),为啥外卖到手的咖啡只有这么点，比店里的少，也没有看到包装袋里有撒啊，有点点小不愉快，以后还是去店里喝吧。,2022-03-09
Seesaw Coffee(重庆光环店),焦苦味太重,2022-03-09
Seesaw Coffee(北京朝阳大悦城店),"这家店是喜茶旗下的咖啡品牌
[调皮]口味：因为点的是招牌产品，味道一般，不是很推。没有尝试传统的拿铁、美食等
「白柚红果丝绒拿铁」不太明白冰糖葫芦和咖啡哪里搭，味道也挺普普的

[薄荷]环境：店内没有座位，人非常多，居然还有人在看书学习

[服务铃]服务：服务还行吧",2022-03-08
Seesaw Coffee(建邺吾悦广场店),"偶尔路过，工作日店内的人还是蛮多的，工作人员一直在埋头做咖啡。店里风格简简单单，原木色黑色灰色还有些绿植看着很舒服～
单点了澳白和一块巴斯克蛋糕，价格中等偏上～
「澳白」选了深烘的豆，没那么酸，口感还行
巴斯克…上面奶油是偏酸的口感，坚果🌰吸了奶油里的水分，变成软的，不是很好吃，整体吃起来就像是芝士蛋糕，一点都没有巴斯克该有的扎实点的口感，没有星巴克当时推的巴斯克好吃，不推荐…
冲着环境和咖啡，可以打卡",2022-03-08
Seesaw Coffee(北京双井富力广场店),新开的店吧，店面很小，有三五个人的座位。点了栀子花梨香咖啡。里面有几颗连着一点点儿杆儿的栀子花，导致我喝咖啡还要吐皮[笑哭][笑哭][笑哭]而且那个杆儿还很容易卡住杯盖[笑哭][笑哭][笑哭]除了这点小尴尬以外，味道还可以，不过也没有特别惊喜，价格也贵。我还是更愿意选择对面的Tim,2022-03-08
Seesaw Coffee(杭州天目里店),其实就是吃个环境 咖啡和甜点味道只能说是不公不过,2022-03-08
Seesaw Coffee(北京东方广场店),服务太差，制作过程脏乱。服务员态度也差,2022-03-08
Seesaw Coffee(浦东嘉里城店),这家的确相当难喝，在seesaw连锁店里大概是最难喝的。估计是上班的人太多导致随便做也永远爆单。但这也不代表你们可以随便做........,2022-03-08
Seesaw Coffee(景枫中心店),"uuummmmm……
seesaw的风吹的很大，身边有人很喜欢这个品牌的味道，所以在强烈推荐下终于在一个美妙的周日上午我团了张券[调皮]在景枫这家门店尝试了澳白。
第一杯出来的味道只能说，不像澳白，像是一大杯牛奶里掺了点很淡的咖啡。
好在小妹态度很好，给我重新做了杯含有三个shots的版本，依稀能让我觉得终于有咖啡味了..所以，暂时不推荐",2022-03-07
Seesaw Coffee(上海尚悦湾店),感觉价格偏高，要手冲的咖啡、服务员说没有人做，蛋糕的外形挺漂亮，口感一般。,2022-03-07
Seesaw Coffee(上海思南公馆店),服务员态度不错，其他就很一般了，座椅太硬（明显不希望顾客久坐），餐巾纸质量很差，咖啡太贵。吃蛋糕连碟子也没。,2022-03-07
Seesaw Coffee(上海博荟店),有丢丢失望，咖啡做得很慢，点的拿铁，没有惊艳的感觉，就还蛮普通的。性价比有点低。,2022-03-07
Seesaw Coffee(上海太阳宫K46店),外卖多，等待时间非常长。,2022-03-07
Seesaw Coffee(建邺吾悦广场店),"期待已久的店，实在是太失望了，基本上跟星巴克差不多了，就是一家卖环境的店。

点单的时候，店员说用的soe的豆子，问是什么豆子，回答：埃塞俄比亚的。问是日晒还是水洗，回答：额额额呜呜呜……水洗的。我感觉他就是随便说的，蒙了一个，其实完全不知道。我还没问产区呢。心已经凉了半截。

轻云桃桃美式：就是一杯水蜜桃汁，可能放了半袋冷萃液，呵呵呵呵呵。甜死，也没有咖啡味。

杏桃花蜂蜜拿铁：蜂蜜太抢味了，太甜，也没什么咖啡味，别说是咖啡风味了。

不知道为什么在上海那么火，真的是资本的力量吧。

环境不错，咖啡非常垃圾，如果想找个地方学习可以点一杯当饮料喝喝拉倒了。

喜欢咖啡的人就别来了。",2022-03-07
Seesaw Coffee(重庆万象城店),"稀里糊涂的春季上新。

「洛神花苹果SEE拉米SAW」
底部的咖啡液苦势逼人，苹果层失去水果本味，奶油也没怎么吃明白，迷一般的提拉米苏改良。

「茉莉龙井冰淇淋蛋糕」
茉莉和龙井，你们在哪？不仅两种元素的味道隐晦至极，清淡中还有一股浓重的冰箱气…",2022-03-07
Seesaw Coffee(上海陆家嘴中心L+店),请问，去冰的是不满杯的？以前买去冰的都满杯啊？,2022-03-07
Seesaw Coffee(北京东方广场店),做咖啡的大姐不戴口罩，疫情加卫生还是要注意一点,2022-03-07
Seesaw Coffee(重庆万象城店),太难喝了，一杯就喝了一口，根本不是咖啡，也不是果汁，有位置坐但只适合玩,2022-03-07
Seesaw Coffee(远洋乐堤港店),整体很一般，味道感觉很淡，第一口就觉得味道怪怪的，感觉没有我之前喝的好了，不知道是我自己原因还是什么。再者就是这个新包装真的真的真的太土了太土了，建议换换吧。然后两杯拿铁感觉等的时间也太长了点，不过也可能是人有点多。,2022-03-06
Seesaw Coffee(浦东美术馆店),"浦东美术馆里的咖啡馆，基本客流还是可以保证的，高峰时间段更是一位难求，基本上美术馆两小时内都逛不好的，所以不少顾客都会来补充下能量。
        但是蛋糕糕点这些冷餐，作为午餐吃着总归有点不习惯，咖啡杯型小，性价比不高，味道一般。",2022-03-06
Seesaw Coffee(杭州天目里店),咖啡我还是喜欢苦一点的，所以这家不适合我，不过意外发现巧克力蛋糕不错，其他都是坑…嗜甜者可以尝试,2022-03-06
Seesaw Coffee(北京三里屯机电院店),"大家都说好
我悄悄说个一般吧
点了两杯 一杯拿铁 一杯加桂花蜜的
emmm确实不是我喜欢的 有一种奇怪味道",2022-03-06
Seesaw Coffee(北京通州万达店),"和朋友来逛万达，地下的时尚街区内看到这家店的春季限定产品宣传，特别喜欢💕，杯子的设计春意盎然。

店里的环境不怎么好，座椅都特别简单，整体也没什么装饰，感觉完全没有温度的一家店。店员很多，都扎堆在一起，乱乱的感觉。",2022-03-06
Seesaw Coffee(杭州天目里店),"Seriously????真的有人认真打五分吗？喝的是厚椰乳拿铁，90%就是直接倒的厚椰乳，然后再加一小杯浓缩，原价38买的，但即使是大众买券，30一杯也觉得超级不值。口味真的非常非常非常一般，瑞幸在我心里真的是咖啡连锁最不好喝的了，但至少它也知道自己不好喝不敢收那么多钱，但Seasaw就是，服……又贵又不好喝。
吃的是草莓酸奶蛋糕，啊……口感很腻，酸奶的味道也不重，就是，不知道吃了个啥？说好吃的，可以去尝尝猫里有甜，试一下认真做蛋糕是什么口味的。
如果不说和专门做甜品的店比，那我觉得，星巴克对于蛋糕店标准化和品控做的是真的好。
整个体验就是一个大写的无语，再也不会去以及，也不会推荐朋友去。",2022-03-06
Seesaw Coffee(上海金桥国际店),只能说店大欺客，本来一直是这个品牌的忠实粉丝，办公室常备它的冷萃液，今天看到三八节活动免费升杯，结果标准杯要点大杯才算升杯，那公告也没写明，只写了免费升杯，服务员也没有补救措施，好吧，不在乎一个小小的顾客，再见,2022-03-06
Seesaw Coffee(环贸iapm店),店里逛逛时候买的咖啡，买的优惠套餐两杯，桃桃的那杯挺好看，可口感未必人人能够接受，有点酸酸的口感，个人不习惯，蜂蜜那杯还可以，没什么特别，其他品种没试过，它家还有不错的甜品，感觉应该比咖啡好吃，总体个人感觉一般！,2022-03-06
Seesaw Coffee(上海丁香国际店),咖啡还可以但是服务员态度也太差了,2022-03-06
Seesaw Coffee(重庆星光68店),"这个桃味的美式朋友说喝起像呕吐物劝我别4
但是出于猎奇更想喝了 可以接受 但不会买第二次 下次44其他的",2022-03-06
Seesaw Coffee(北京双井富力广场店),"位置在双井富力广场一层的最南端，商城南门进来就是，在哈根达斯和乐乐茶的隔壁，点评上的定位很不准…
店里只有几个简单的座位和小桌子，没靠背也没插座，不方便久坐。虽然是新店但是地面挺脏的，建议勤拖地…
店员的服务态度不错。新会员有5元优惠券。",2022-03-06
Seesaw Coffee(南京水游城店),"那个什么栀子花
并没有什么栀子花味道
就上面一层干花
店里面很小
非常狭窄
味道真的很一般般
也就一个网红噱头",2022-03-05
Seesaw Coffee(上海BFC外滩金融中心店),"第二次喝这个牌子的咖啡。
附近办事 路过这里 拿铁口味一般。
感觉还是manner更适合我的口味。
团购50两杯。现在咖啡行业竞争真的厉害。
感觉这款咖啡极限也就25 不能再高了。
讲真。下次有manner的地方我不会选他们家了 了。
了。",2022-03-05
Seesaw Coffee(世博源店),这店也不知道怎么火起来的，现在开得到处都是。过年时候的新品真心难喝，糖葫芦那个还好一点，放干西柚片的一股干货的怪味道，我在别家喝的类似产品也没有这味啊。然后堂吃还给一次性杯子，感觉很敷衍。点餐非要用小程序，明明帐台有人的。,2022-03-05
Seesaw Coffee(上海七宝万科店),"Seesaw Coffee  上海七宝万科店

📍位于闵行区七宝镇漕宝路3366号万科广场F1
🅿️近民主路停车场这侧入口第一家就是
🏢较其他连锁品牌咖啡店没什么区别也没有特色
[疑问]之前被刷屏难道是我打开方式错了？
👧🏻第一杯被做错了，冰饮搞错了热饮，只能重新做
【「杏桃花蜂蜜拿铁」】
🗓️NO:020咖啡
🍑与图片严重不符，用的是干桃肉❌
🍯没有一丝蜂蜜味体现❌
☕拿铁中倒是有淡淡桃香融合",2022-03-05
Seesaw Coffee(上海南翔印象城店),真的没有楼下的manner好喝，环境也一般，有点失望，在其他几家店喝的时候觉得还行,2022-03-05
Seesaw Coffee(上海万象城店),"服务很差，咖啡都做好了。
系统里订单状态也不更新，也没人通知我去拿。
咖啡放在取餐区快五六分钟了才叫好，我还以为是别人呢。",2022-03-05
Seesaw Coffee(杭州湖滨步行街店),奇烂无比，我就不懂店里客人不多的情况下，一杯饮料半个小时做不出来是为什么？？？？？？？？？？？？？？？？树懒吗？？？？？？？？？？三块钱苏打水混柠檬卖三十，服务态度巨差？！！！！！！！真的无语！！！！赶紧死！！！,2022-03-05
Seesaw Coffee(北京通州万达店),"[薄荷]环境：环境不咋地，还算干净，装修挺差劲的

[服务铃]服务：全程无服务！！买的咖啡和蛋糕，自己拿不过去，三个店员就在旁边看着
口味： 杏桃花蜂蜜拿铁好喝，推荐！图上那个樱花蛋糕，实在不好吃！",2022-03-05
Seesaw Coffee(上生新所店),在上海这家店就显得普普通通了。没有别的精品咖啡的特色，环境不错可以呆一呆。对了那个玫瑰荔枝甜品，真的巨难吃。。,2022-03-04
Seesaw Coffee(成都摩方店),"搞活动的时候，朋友299买了10杯的任意券。虽然我一直觉得大多数都咖啡馆味道都差不太多，各有各的逼格和流量，但这个所谓活动的活动，真的性价比[弱][弱][弱]
点了捧友给我种草很久的「栀子花梨香拿铁」没好大咖啡味，只能说是好喝的饮料吧[阴险]
可以单独打包一盒冰块，加进去还不错",2022-03-04
Seesaw Coffee(杭州萧山万象汇店),本人是个无咖啡不欢的人，几乎每天都要喝。而且只喝拿铁，最近发现这个牌子好多商场都有，所以果断去试了一杯，味道很不错，豆子选的应该还行。星巴克，我是不太会去光顾了，我配不上他的品牌形象，我还是支持国货，用美国人的钱给中国人喝咖啡！,2022-03-04
Seesaw Coffee(上海K11购物艺术中心B1店),总的说来就是一家没啥特色的连锁咖啡店 会去买咖啡完全就是为了送的那个小包 如果没这个活动估计都不会去尝试的[拔草][拔草][拔草],2022-03-04
Seesaw Coffee(上海国金中心店),"[薄荷]环境：
ifc电影院对面，干净明亮，生意不用多说，每天肯定是极好的

[服务铃]服务：
中规中矩，没有半点废话，也没有多一点笑颜

「热美式」
这次点的美式，踩雷了，可以说是真的不好喝，寡淡都算不上，口感差到像咖啡渣兑水，真心失望。",2022-03-04
Seesaw Coffee(上海BFC外滩金融中心店),冰放的太多，味道很淡。,2022-03-04
Seesaw Coffee(上海K11购物艺术中心B1店),制作饮料时未佩戴口罩，就。。希望改进吧,2022-03-04
Seesaw Coffee(北京西红门荟聚店),个人觉得一般,2022-03-04
Seesaw Coffee(成都摩方店),"这个洛神苹果提拉米苏真的太难吃了
真的真的，商家看到了一定改良一下
我是不挑食的
但是严厉批评这个设计
首先蛋糕胚刷了咖啡液是苦的
然后洛神花带着一股草药味
苹果肉也完全没有起到缓和口味的目的
整个蛋糕是乱七八糟的苦
像在吃中药
真的不好吃
绝对是良心点评
希望商家自己品尝一下",2022-03-03
Seesaw Coffee(杭州奥体印象城店),不知道这个咖啡为什么火.感觉就是普通口味.出品也不快.包装也一般.可能是我不专业吧,2022-03-03
Seesaw Coffee(重庆万象城店),口感一般、性价比不高、感觉吹得过了点、反正一般般吧觉得，有些新品也是异常诡异的味道…,2022-03-03
Seesaw Coffee(88铜仁路店),"Omg，咱就是说，这家的水准有点差。。。叫的外卖，环境服务无法评价。
白柚红果拿铁，别家的都有一层奶泡的，这家送来天然不满杯，啥也没有。
咖啡还能忍，这个碱水面包过分了，瓦斯泄露了吗，火力这么猛的吗，烤的焦黑，梆硬。不是碱水面包那种嚼劲哦，真的是个硬壳，能把头砸开那种硬。烤出来看到明显过头了么就该直接处理掉了，这还好意思送出来[尴尬]",2022-03-03
Seesaw Coffee(远洋乐堤港店),"阳光的午后，在商场吃完午饭，路过快捷咖啡店铺，想着今天不用排队就买了两杯，结果就是团购套餐的内容并不能都可供选择[撇嘴][撇嘴]最后只能悻悻地点了两杯杏桃花拿铁，然鹅，味道就……嗯……我这种对口味基本要求不高的人都觉得不好喝，喝到下面就是越来越浓的糖浆味道[吐][吐]
网红果然就只能是个网红，不会再尝试",2022-03-02
Seesaw Coffee(世茂广场店),emmmm豆子不够香，性价比不够高！同等价位下可以有更好的选择,2022-03-02
Seesaw Coffee(上海太阳宫K46店),在点评上买了一个新品柚子味道的双杯套餐，真的不好喝，一杯酸不拉几的美式，另外一杯是甜中带酸上面给了一根糖葫芦，图里面看着蛮好看的，实物就寒酸了，以后还是老老实实买经典味道的吧，不敢再随便尝试啥新品了。,2022-03-02
Seesaw Coffee(北京三里屯机电院店),总体来说咖啡很普通，菜单我觉得比较女性化一些，什么杏桃花拿铁，装修也很一般，服务更不要提了，听说喜茶投了100万？,2022-03-02
Seesaw Coffee(凌空soho店),"等待时间过长，虽然店员不少，出品太慢。
「抹茶拿铁」刚入口很淡，喝到后面就吐出了茶坨坨。。。原来没搅匀[流泪][流泪]",2022-03-02
